@relation Gerald_Wallace
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,0,2,2,0,0,1825,1610612762,1610612738,0,0,2,0,1,1,4
0,0,8,4,5,4,1963,1610612737,1610612738,3,4,0,0,2,3,12
0,0,0,0,0,0,179,1610612742,1610612738,0,0,0,0,0,0,0
0,0,2,0,2,2,502,1610612754,1610612738,0,0,1,0,0,0,2
0,0,0,0,2,1,768,1610612741,1610612738,0,0,0,0,0,0,1
0,0,0,0,0,0,283,1610612760,1610612738,0,0,0,0,0,1,0
0,0,1,0,0,0,755,1610612757,1610612738,1,0,2,0,1,1,0
0,0,0,0,0,0,715,1610612737,1610612738,0,0,0,0,2,2,0
0,0,1,1,0,0,510,1610612765,1610612738,0,0,0,0,1,1,2
1,0,1,0,0,0,4,1610612747,1610612738,0,0,0,0,0,0,0
0,0,2,1,0,0,330,1610612752,1610612738,1,1,0,0,1,0,2
0,0,0,0,0,0,706,1610612755,1610612738,0,1,2,1,0,3,0
0,0,0,0,0,0,555,1610612753,1610612738,1,0,1,1,0,1,0
0,0,0,0,0,0,391,1610612750,1610612738,0,0,1,0,0,0,0
0,0,0,0,0,0,2,1610612751,1610612738,0,0,0,0,0,0,0
0,0,1,0,0,0,224,1610612766,1610612738,0,0,0,0,0,0,0
0,0,0,0,2,1,161,1610612740,1610612738,2,0,0,0,1,0,1
0,0,0,0,0,0,506,1610612743,1610612738,0,0,1,0,0,0,0
0,0,3,3,0,0,710,1610612744,1610612738,1,0,1,0,1,1,6
0,0,0,0,2,2,816,1610612762,1610612738,0,0,2,0,2,0,2
0,0,1,0,0,0,428,1610612750,1610612738,0,0,0,0,0,0,0
0,0,0,0,0,0,414,1610612745,1610612738,0,0,0,1,0,0,0
0,0,1,0,0,0,423,1610612748,1610612738,0,0,0,0,1,0,0
0,0,1,1,0,0,561,1610612747,1610612738,0,1,1,0,0,2,2
1,1,4,1,0,0,899,1610612756,1610612738,1,1,0,0,2,1,3
0,0,1,0,0,0,423,1610612752,1610612738,0,0,0,0,0,0,0
0,0,2,1,0,0,784,1610612748,1610612738,1,2,1,1,0,1,2
1,0,1,0,2,0,365,1610612758,1610612738,1,0,0,0,0,0,0
0,0,5,3,1,0,881,1610612759,1610612738,2,1,0,0,0,1,6
0,0,3,1,0,0,758,1610612765,1610612738,3,1,0,0,0,1,2
0,0,0,0,0,0,242,1610612748,1610612738,0,0,0,0,1,1,0
0,0,3,2,4,0,897,1610612766,1610612738,2,1,2,0,0,0,4
0,0,0,0,0,0,1098,1610612749,1610612738,0,2,0,0,4,1,0
0,0,1,0,0,0,221,1610612739,1610612738,0,0,0,0,0,0,0
