@relation Elton_Brand
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,0,10,5,1,1,1788,1610612757,1610612737,4,2,1,1,2,5,11
0,0,5,2,0,0,1313,1610612755,1610612737,1,1,0,0,0,4,4
0,0,5,4,0,0,1552,1610612741,1610612737,0,3,2,1,0,3,8
0,0,7,4,0,0,1646,1610612739,1610612737,0,2,0,0,1,4,8
0,0,3,1,0,0,1347,1610612754,1610612737,1,2,1,0,1,5,2
0,0,12,6,2,1,1981,1610612738,1610612737,4,3,3,1,3,1,13
0,0,2,2,0,0,1344,1610612751,1610612737,0,2,2,4,0,3,4
0,0,7,3,1,0,1597,1610612748,1610612737,1,2,1,1,1,3,6
0,0,5,4,6,4,1246,1610612766,1610612737,2,1,2,3,0,4,12
0,0,2,1,0,0,1162,1610612749,1610612737,0,1,0,0,1,5,2
0,0,1,1,2,0,732,1610612761,1610612737,0,0,0,0,1,1,2
0,0,3,2,2,1,510,1610612739,1610612737,0,2,1,1,1,0,5
0,0,7,4,2,1,1664,1610612766,1610612737,3,3,0,1,1,2,9
0,0,1,0,0,0,426,1610612751,1610612737,0,0,0,0,0,1,0
0,0,0,0,2,1,711,1610612753,1610612737,0,0,1,0,1,1,1
0,0,1,0,0,0,805,1610612753,1610612737,2,0,0,0,0,1,0
0,0,5,3,2,2,810,1610612741,1610612737,1,0,0,1,0,2,8
0,0,2,1,2,1,1046,1610612746,1610612737,2,0,2,2,2,3,3
0,0,1,0,0,0,489,1610612749,1610612737,1,0,1,0,0,1,0
0,0,1,0,0,0,561,1610612739,1610612737,0,0,1,1,0,3,0
0,0,5,3,0,0,1127,1610612762,1610612737,1,0,0,1,0,0,6
0,0,3,0,0,0,576,1610612765,1610612737,0,1,0,1,0,0,0
0,0,9,3,1,0,1173,1610612755,1610612737,5,1,1,1,0,4,6
0,0,2,2,0,0,374,1610612738,1610612737,0,0,1,0,0,0,4
0,0,1,0,0,0,260,1610612761,1610612737,0,1,0,0,0,1,0
0,0,5,3,0,0,789,1610612741,1610612737,2,0,0,0,0,4,6
0,0,1,0,0,0,637,1610612755,1610612737,0,0,0,0,1,2,0
0,0,1,0,0,0,832,1610612750,1610612737,0,1,1,3,0,1,0
0,0,7,3,2,1,1748,1610612748,1610612737,4,2,0,0,0,3,7
0,0,1,1,0,0,376,1610612739,1610612737,0,0,0,1,0,0,2
0,0,2,0,0,0,989,1610612755,1610612737,1,0,1,1,1,2,0
0,0,1,1,0,0,996,1610612758,1610612737,1,3,0,2,1,3,2
0,0,2,0,0,0,514,1610612756,1610612737,1,0,0,1,1,3,0
0,0,2,1,0,0,1448,1610612747,1610612737,0,1,2,3,0,1,2
0,0,5,2,2,2,1561,1610612758,1610612737,1,0,2,0,1,5,6
0,0,3,1,0,0,781,1610612759,1610612737,0,0,1,0,1,1,2
0,0,1,0,0,0,417,1610612753,1610612737,0,0,0,0,0,1,0
0,0,8,4,2,1,1677,1610612766,1610612737,1,1,0,2,1,2,9
0,0,1,0,0,0,643,1610612751,1610612737,0,1,1,1,2,1,0
0,0,2,1,0,0,464,1610612751,1610612737,0,1,0,0,0,0,2
0,0,0,0,0,0,303,1610612766,1610612737,0,1,0,0,0,0,0
0,0,3,2,0,0,1001,1610612752,1610612737,1,1,0,0,1,0,4
0,0,2,0,0,0,720,1610612741,1610612737,0,1,0,0,0,1,0
0,0,0,0,0,0,13,1610612751,1610612737,0,0,0,0,0,1,0
0,0,1,0,0,0,218,1610612751,1610612737,0,0,0,0,0,1,0
0,0,0,0,2,1,0,1610612739,1610612737,0,0,0,0,0,1,1
