@relation Joey_Dorsey
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,0,2,2,0,0,570,1610612756,1610612745,1,0,0,0,0,2,4
0,0,2,1,1,1,727,1610612744,1610612745,2,0,1,0,1,3,3
0,0,2,0,4,0,1978,1610612758,1610612745,2,2,5,1,3,5,0
0,0,0,0,0,0,917,1610612743,1610612745,3,0,0,1,1,2,0
0,0,0,0,0,0,47,1610612743,1610612745,0,0,0,0,0,0,0
0,0,3,1,0,0,730,1610612740,1610612745,1,0,0,0,0,1,2
0,0,1,1,2,0,534,1610612757,1610612745,0,1,1,0,0,2,2
0,0,2,1,0,0,572,1610612763,1610612745,0,0,0,0,0,1,2
0,0,0,0,4,1,428,1610612759,1610612745,1,1,1,0,0,1,1
0,0,2,2,2,1,1136,1610612764,1610612745,3,0,3,0,3,3,5
0,0,0,0,2,1,923,1610612766,1610612745,2,0,1,0,1,5,1
0,0,6,2,0,0,1373,1610612740,1610612745,6,1,3,0,1,4,4
0,0,1,0,0,0,446,1610612748,1610612745,1,0,0,0,0,0,0
0,0,1,1,2,1,572,1610612752,1610612745,0,0,0,1,0,3,3
0,0,0,0,0,0,80,1610612762,1610612745,0,0,0,0,0,0,0
0,0,0,0,0,0,217,1610612751,1610612745,0,0,0,0,0,0,0
0,0,0,0,2,1,99,1610612760,1610612745,1,1,0,0,0,0,1
0,0,2,2,3,0,382,1610612744,1610612745,2,0,0,0,2,1,4
0,0,5,3,2,1,990,1610612744,1610612745,4,2,1,0,1,4,7
0,0,2,2,0,0,1209,1610612756,1610612745,0,0,2,1,1,5,4
0,0,3,1,2,2,1507,1610612747,1610612745,3,0,1,1,1,5,4
0,0,2,0,0,0,801,1610612742,1610612745,3,1,1,0,1,2,0
0,0,3,3,0,0,763,1610612738,1610612745,1,0,0,0,1,2,6
0,0,1,0,2,1,761,1610612765,1610612745,1,0,1,0,0,2,1
0,0,6,2,0,0,1184,1610612741,1610612745,3,0,0,1,0,3,4
0,0,3,2,0,0,538,1610612749,1610612745,1,1,1,0,0,0,4
0,0,4,1,0,0,762,1610612757,1610612745,1,0,0,0,0,2,2
0,0,4,1,2,0,991,1610612756,1610612745,3,0,0,0,1,3,2
0,0,1,1,0,0,754,1610612746,1610612745,1,0,0,0,0,4,2
0,0,4,3,0,0,968,1610612761,1610612745,0,0,2,0,0,3,6
0,0,4,3,0,0,358,1610612750,1610612745,2,0,0,0,0,1,6
0,0,1,0,0,0,131,1610612751,1610612745,0,0,1,0,0,1,0
0,0,1,1,0,0,497,1610612763,1610612745,2,0,0,0,2,2,2
0,0,3,3,0,0,1042,1610612765,1610612745,6,1,1,1,2,3,6
0,0,1,0,2,0,463,1610612743,1610612745,1,0,0,0,0,3,0
0,0,2,2,0,0,495,1610612757,1610612745,2,0,0,0,0,0,4
0,0,3,2,0,0,961,1610612762,1610612745,0,0,0,1,0,4,4
0,0,0,0,2,0,134,1610612746,1610612745,0,0,0,0,0,0,0
0,0,1,1,0,0,412,1610612753,1610612745,2,0,0,1,0,1,2
0,0,3,1,5,1,1199,1610612743,1610612745,1,1,1,0,1,5,3
0,0,3,3,0,0,672,1610612742,1610612745,2,1,1,1,0,1,6
0,0,1,1,0,0,843,1610612756,1610612745,1,1,0,1,0,2,2
0,0,2,0,0,0,1507,1610612754,1610612745,0,0,0,1,1,6,0
0,0,5,4,0,0,644,1610612740,1610612745,1,1,0,0,1,3,8
0,0,6,3,0,0,1012,1610612750,1610612745,2,1,0,1,1,3,6
0,0,4,3,4,1,1410,1610612764,1610612745,1,0,3,0,0,4,7
0,0,3,3,2,1,1227,1610612761,1610612745,2,1,0,0,1,4,7
1,0,8,3,2,1,1924,1610612758,1610612745,7,2,1,0,1,4,7
0,0,4,2,6,1,635,1610612742,1610612745,2,0,1,0,1,2,5
0,0,1,1,8,3,1108,1610612760,1610612745,4,0,0,0,1,4,5
0,0,1,1,4,0,921,1610612759,1610612745,0,1,0,0,0,0,2
0,0,0,0,0,0,295,1610612759,1610612745,1,0,0,0,0,2,0
0,0,2,0,0,0,1007,1610612766,1610612745,1,0,3,0,0,2,0
0,0,1,1,2,1,818,1610612762,1610612745,0,1,0,0,1,0,3
0,0,0,0,0,0,34,1610612742,1610612745,0,0,0,0,0,0,0
0,0,0,0,0,0,96,1610612742,1610612745,0,1,0,0,0,1,0
0,0,0,0,0,0,42,1610612742,1610612745,0,0,0,0,0,0,0
0,0,1,0,0,0,174,1610612746,1610612745,1,0,0,0,1,0,0
0,0,1,0,2,1,352,1610612746,1610612745,0,1,0,0,0,1,1
0,0,0,0,0,0,105,1610612746,1610612745,0,0,0,0,0,0,0
