@relation Carlos_Boozer
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,0,7,3,2,1,1440,1610612755,1610612741,0,0,0,0,2,5,7
0,0,10,3,3,3,1429,1610612754,1610612741,2,0,2,0,2,4,9
0,0,15,8,0,0,1440,1610612757,1610612741,2,2,2,0,1,2,16
0,0,10,7,0,0,1440,1610612738,1610612741,0,0,0,0,1,4,14
0,0,12,7,2,2,1440,1610612738,1610612741,3,1,0,0,1,3,16
0,0,8,5,3,2,1440,1610612737,1610612741,1,2,0,0,4,1,12
0,0,16,6,2,2,1440,1610612749,1610612741,3,5,1,1,1,2,14
0,0,12,6,4,4,1440,1610612764,1610612741,1,1,2,0,2,2,16
0,0,13,3,0,0,1434,1610612750,1610612741,1,0,1,0,4,5,6
0,0,8,7,5,4,1440,1610612765,1610612741,1,0,0,0,2,2,18
0,0,9,4,0,0,1440,1610612752,1610612741,2,5,0,0,1,4,8
0,0,11,6,2,1,1905,1610612753,1610612741,1,5,1,0,1,5,13
0,0,12,7,0,0,1440,1610612766,1610612741,0,0,0,0,0,2,14
0,0,13,7,3,3,1655,1610612745,1610612747,3,2,1,0,0,1,17
0,0,6,2,0,0,1381,1610612756,1610612747,0,1,1,0,8,2,4
0,0,9,3,5,3,1711,1610612746,1610612747,2,3,0,1,2,5,9
0,0,9,4,1,1,1421,1610612744,1610612747,3,1,0,0,0,4,9
0,0,13,6,2,1,1722,1610612756,1610612747,1,4,0,0,1,4,13
0,0,11,7,2,2,1814,1610612766,1610612747,0,1,1,0,2,5,16
0,0,13,8,5,4,1727,1610612763,1610612747,4,3,0,0,0,6,20
0,0,13,6,6,4,2034,1610612740,1610612747,2,0,2,0,2,2,16
0,0,13,8,4,3,1925,1610612759,1610612747,2,1,2,0,2,2,19
0,0,13,3,0,0,1257,1610612744,1610612747,1,1,0,0,0,4,6
0,0,14,10,0,0,1768,1610612737,1610612747,4,2,0,0,0,3,20
0,0,15,5,3,2,1800,1610612745,1610612747,3,1,0,0,2,3,12
0,0,11,6,2,0,1187,1610612742,1610612747,0,2,0,0,0,3,12
0,0,6,2,2,0,1237,1610612763,1610612747,1,1,0,0,1,2,4
0,0,9,6,4,3,1334,1610612750,1610612747,2,0,1,0,0,2,15
0,0,15,9,0,0,1778,1610612761,1610612747,2,2,0,0,2,2,18
0,0,13,7,0,0,1550,1610612765,1610612747,0,2,2,0,0,4,14
0,0,9,5,0,0,1534,1610612764,1610612747,2,0,1,0,2,3,10
0,0,6,1,0,0,1096,1610612738,1610612747,0,1,0,0,2,3,2
0,0,12,6,0,0,1380,1610612740,1610612747,2,1,0,0,0,3,12
0,0,13,6,6,3,1679,1610612758,1610612747,0,1,1,0,0,1,15
0,0,12,7,0,0,1882,1610612759,1610612747,3,1,0,2,1,3,14
0,0,14,10,3,2,1604,1610612750,1610612747,6,2,0,0,1,4,22
0,0,8,3,10,7,1522,1610612754,1610612747,2,2,1,0,1,0,13
0,0,12,6,5,2,1708,1610612760,1610612747,1,2,0,0,1,4,14
0,0,7,3,0,0,1341,1610612758,1610612747,1,0,0,0,0,1,6
0,0,11,8,6,2,1577,1610612744,1610612747,4,3,0,1,5,2,18
0,0,11,7,0,0,1039,1610612741,1610612747,2,0,0,0,0,3,14
0,0,16,9,1,0,1281,1610612742,1610612747,3,0,1,0,0,2,18
0,0,7,4,0,0,1320,1610612756,1610612747,0,1,1,0,0,2,8
0,0,14,8,6,3,1723,1610612743,1610612747,1,1,1,0,2,3,19
0,0,8,6,3,2,1291,1610612763,1610612747,0,0,0,0,3,6,14
0,0,9,5,2,2,1575,1610612754,1610612747,1,1,0,0,2,2,12
0,0,9,3,2,2,1372,1610612757,1610612747,0,2,0,0,0,2,8
0,0,8,5,0,0,904,1610612746,1610612747,0,1,0,0,0,3,10
0,0,12,6,0,0,1572,1610612753,1610612747,2,0,0,1,0,3,12
0,0,8,6,3,1,1238,1610612757,1610612747,2,3,1,0,0,4,13
0,0,8,1,0,0,1376,1610612748,1610612747,0,0,2,0,1,1,2
0,0,6,4,2,1,1405,1610612739,1610612747,1,1,0,0,1,1,9
0,0,7,4,2,1,1314,1610612762,1610612747,1,0,1,0,2,0,9
0,0,6,3,4,1,1576,1610612756,1610612747,1,0,1,0,2,3,7
0,0,6,2,2,2,1212,1610612740,1610612747,1,0,0,0,1,1,6
0,0,10,5,0,0,1543,1610612759,1610612747,0,0,0,1,2,4,10
0,0,13,9,0,0,1333,1610612745,1610612747,4,2,0,1,2,2,18
0,0,5,2,0,0,1149,1610612764,1610612747,0,0,1,0,0,1,4
0,0,14,8,0,0,1667,1610612741,1610612747,4,2,0,2,2,3,16
0,0,15,6,8,7,1484,1610612752,1610612747,1,1,1,0,0,1,19
0,0,21,13,2,2,2240,1610612749,1610612747,1,4,0,0,4,1,28
0,0,13,7,1,0,1109,1610612753,1610612747,2,2,2,0,2,3,14
0,0,10,4,1,1,920,1610612739,1610612747,3,3,0,0,0,2,9
0,0,15,8,8,5,1801,1610612743,1610612747,4,4,1,0,2,3,21
0,0,11,1,0,0,1272,1610612757,1610612747,2,1,1,0,1,3,2
0,0,10,6,3,0,1683,1610612738,1610612747,2,1,0,0,2,4,12
0,0,8,5,1,0,1261,1610612749,1610612747,0,0,1,1,2,2,10
0,0,11,4,0,0,1162,1610612760,1610612747,1,1,0,0,1,2,8
0,0,11,5,4,3,1141,1610612748,1610612747,0,0,2,0,0,1,13
0,0,8,3,2,1,1654,1610612763,1610612747,0,3,2,0,0,3,7
0,0,15,8,1,1,1485,1610612742,1610612747,4,2,1,0,3,4,17
0,0,6,2,0,0,1590,1610612765,1610612747,0,1,0,0,2,4,4
0,0,12,5,1,1,1154,1610612752,1610612747,0,2,1,0,2,2,11
0,0,10,5,4,3,1628,1610612737,1610612747,2,3,0,0,4,3,13
0,0,9,5,1,1,1231,1610612762,1610612747,0,3,0,0,3,2,11
0,0,13,5,7,4,1297,1610612762,1610612747,0,1,3,0,2,2,14
0,0,12,5,0,0,1420,1610612744,1610612747,4,2,1,0,2,4,10
0,0,8,4,0,0,1533,1610612755,1610612747,0,1,0,1,2,3,8
0,0,9,2,0,0,1083,1610612740,1610612747,0,1,2,0,0,3,4
0,0,4,0,0,0,512,1610612757,1610612747,0,1,1,0,1,0,0
0,0,10,4,2,1,984,1610612746,1610612747,2,2,0,0,1,0,9
0,0,10,4,0,0,1219,1610612758,1610612747,5,1,0,1,2,4,8
0,0,7,4,2,2,600,1610612758,1610612747,3,0,0,0,0,2,10
