@relation Jeff_Ayres
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,0,4,0,0,0,714,1610612762,1610612759,3,1,0,0,1,2,0
0,0,2,1,0,0,550,1610612746,1610612759,0,0,1,0,1,1,2
0,0,2,2,0,0,704,1610612756,1610612759,0,0,1,0,1,1,4
0,0,2,2,0,0,649,1610612744,1610612759,2,0,0,0,1,1,4
0,0,2,1,2,2,581,1610612761,1610612759,2,4,1,1,0,0,4
0,0,1,0,2,2,452,1610612745,1610612759,1,0,0,0,0,1,2
0,0,3,1,2,2,484,1610612742,1610612759,0,0,0,0,0,3,4
0,0,3,1,2,2,1283,1610612751,1610612759,3,2,0,1,0,2,4
0,0,2,1,0,0,585,1610612752,1610612759,1,0,0,0,0,2,2
0,0,5,3,0,0,904,1610612746,1610612759,2,3,0,0,2,3,6
0,0,1,1,0,0,1343,1610612763,1610612759,2,1,0,1,1,3,2
0,0,2,2,0,0,677,1610612742,1610612759,3,0,0,0,0,3,4
0,0,7,4,0,0,1170,1610612750,1610612759,2,2,0,1,2,4,8
0,0,1,1,2,1,991,1610612740,1610612759,1,0,0,1,0,2,3
0,0,6,5,0,0,1718,1610612762,1610612759,1,2,0,0,2,4,10
0,0,2,1,0,0,942,1610612757,1610612759,1,0,0,0,1,1,2
0,0,6,5,3,3,883,1610612749,1610612759,2,0,0,0,1,2,13
0,0,3,1,2,1,1330,1610612760,1610612759,1,4,0,0,1,2,3
0,0,3,2,2,2,722,1610612737,1610612759,2,0,0,0,0,3,6
0,0,3,3,2,1,909,1610612748,1610612759,1,2,0,0,1,1,7
0,0,0,0,0,0,477,1610612745,1610612759,1,2,0,0,0,1,0
0,0,1,0,0,0,939,1610612741,1610612759,1,2,0,0,2,4,0
0,0,2,1,0,0,819,1610612758,1610612759,1,1,0,0,2,3,2
0,0,0,0,2,1,374,1610612764,1610612759,0,2,0,0,1,1,1
0,0,1,0,2,1,868,1610612751,1610612759,2,1,0,1,2,2,1
0,0,4,3,2,2,1337,1610612766,1610612759,1,4,1,2,0,1,8
0,0,4,4,0,0,1037,1610612765,1610612759,0,0,1,0,2,5,8
0,0,1,0,0,0,634,1610612738,1610612759,1,0,0,0,0,1,0
0,0,1,1,0,0,876,1610612746,1610612759,1,0,0,0,2,1,2
0,0,2,1,0,0,861,1610612757,1610612759,1,0,0,0,1,5,2
0,0,1,0,0,0,626,1610612756,1610612759,1,0,0,0,1,2,0
0,0,1,1,0,0,720,1610612765,1610612759,2,0,1,0,0,1,2
0,0,1,0,0,0,126,1610612766,1610612759,0,0,0,0,0,0,0
0,0,0,0,0,0,618,1610612739,1610612759,2,1,0,1,2,0,0
0,0,1,1,0,0,439,1610612741,1610612759,2,0,0,0,0,2,2
0,0,0,0,0,0,126,1610612757,1610612759,0,0,0,0,0,0,0
0,0,6,4,4,2,845,1610612747,1610612759,2,1,0,0,2,3,10
0,0,1,1,0,0,160,1610612762,1610612759,1,0,0,0,0,0,2
0,0,1,0,0,0,108,1610612758,1610612759,0,0,0,0,0,0,0
0,0,1,1,0,0,419,1610612744,1610612759,2,0,0,1,3,2,2
0,0,3,2,2,1,1181,1610612755,1610612759,3,0,0,0,2,4,5
0,0,0,0,0,0,1196,1610612743,1610612759,0,0,0,2,2,3,0
0,0,6,4,2,1,1025,1610612740,1610612759,2,2,0,1,1,3,9
0,0,2,2,3,2,217,1610612754,1610612759,2,0,1,0,0,1,6
0,0,5,4,1,1,821,1610612744,1610612759,1,2,0,0,1,2,9
0,0,2,1,0,0,809,1610612760,1610612759,2,2,0,0,0,2,2
0,0,2,1,2,2,806,1610612763,1610612759,1,0,0,2,1,4,4
0,0,0,0,0,0,32,1610612742,1610612759,0,0,0,0,0,0,0
0,0,3,2,0,0,1195,1610612756,1610612759,5,1,0,2,1,2,4
0,0,7,5,3,2,1165,1610612745,1610612759,0,1,0,0,0,2,12
0,0,4,1,0,0,1300,1610612747,1610612759,2,2,0,1,1,3,2
0,0,1,1,0,0,329,1610612756,1610612759,0,0,0,0,1,2,2
0,0,1,0,0,0,762,1610612737,1610612759,2,1,0,1,1,2,0
0,0,7,2,2,2,1357,1610612745,1610612759,2,0,0,0,1,3,6
0,0,0,0,0,0,61,1610612740,1610612759,1,0,0,0,0,0,0
0,0,0,0,0,0,53,1610612744,1610612759,0,0,0,0,0,0,0
0,0,1,1,0,0,411,1610612747,1610612759,0,1,0,0,1,3,2
0,0,1,0,0,0,195,1610612758,1610612759,2,0,0,0,1,2,0
0,0,4,1,2,2,1010,1610612755,1610612759,0,1,1,1,1,1,4
0,0,4,2,0,0,720,1610612750,1610612759,2,2,0,1,1,2,4
0,0,0,0,0,0,150,1610612751,1610612759,0,0,0,0,0,1,0
0,0,0,0,0,0,74,1610612758,1610612759,0,0,0,0,0,1,0
0,0,1,1,0,0,259,1610612738,1610612759,0,0,0,0,0,0,2
0,0,5,1,2,2,736,1610612755,1610612759,2,1,0,1,2,5,4
0,0,4,3,0,0,558,1610612750,1610612759,1,1,0,0,1,1,6
0,0,5,5,2,1,1153,1610612752,1610612759,3,0,1,0,1,2,11
0,0,2,2,0,0,944,1610612757,1610612759,0,1,1,0,1,0,4
0,0,3,1,1,1,1022,1610612742,1610612759,3,0,0,0,0,3,3
0,0,0,0,0,0,176,1610612746,1610612759,0,0,0,0,0,0,0
0,0,0,0,0,0,7,1610612760,1610612759,0,0,0,0,0,0,0
0,0,0,0,0,0,9,1610612740,1610612759,0,0,0,0,0,0,0
0,0,1,1,0,0,798,1610612763,1610612759,0,0,0,0,0,2,2
0,0,8,5,7,6,1015,1610612765,1610612759,2,0,0,1,0,3,16
0,0,3,1,4,3,853,1610612756,1610612759,1,1,2,0,0,1,5
0,0,5,4,1,1,1066,1610612764,1610612759,0,0,1,0,0,1,9
0,0,0,0,0,0,347,1610612762,1610612759,0,0,0,0,0,1,0
0,0,0,0,0,0,11,1610612743,1610612759,0,0,0,0,0,0,0
0,0,1,0,0,0,537,1610612741,1610612759,0,0,0,0,0,2,0
0,0,0,0,0,0,211,1610612747,1610612759,0,1,0,0,0,1,0
0,0,0,0,0,0,164,1610612766,1610612759,0,0,0,0,0,1,0
0,0,1,1,2,1,280,1610612746,1610612759,0,1,0,0,0,0,3
0,0,1,1,0,0,113,1610612765,1610612759,0,0,0,0,0,1,2
0,0,2,1,0,0,296,1610612762,1610612759,1,0,0,0,0,0,2
0,0,0,0,0,0,439,1610612756,1610612759,0,0,0,0,3,1,0
0,0,1,1,1,1,616,1610612758,1610612759,0,0,1,2,0,1,3
0,0,0,0,0,0,97,1610612741,1610612759,0,0,0,0,0,1,0
0,0,0,0,0,0,17,1610612761,1610612759,0,0,0,0,0,0,0
0,0,5,3,0,0,903,1610612750,1610612759,1,0,0,0,2,5,6
0,0,4,2,0,0,369,1610612752,1610612759,3,0,0,0,0,1,4
0,0,2,1,1,0,145,1610612757,1610612759,1,0,0,0,0,0,2
0,0,0,0,2,2,336,1610612742,1610612759,1,0,0,0,1,0,2
0,0,6,5,1,0,653,1610612760,1610612759,2,1,0,0,1,0,10
0,0,0,0,0,0,149,1610612742,1610612759,0,0,0,0,0,0,0
0,0,4,1,0,0,345,1610612753,1610612759,1,0,0,0,0,1,2
0,0,3,2,2,2,566,1610612743,1610612759,1,0,1,1,3,1,6
0,0,0,0,0,0,408,1610612744,1610612759,0,2,0,0,1,1,0
0,0,3,1,0,0,376,1610612745,1610612759,1,0,0,0,0,0,2
0,0,3,2,0,0,501,1610612745,1610612759,1,0,0,0,0,2,4
0,0,1,1,0,0,20,1610612740,1610612759,0,0,0,0,0,0,2
0,0,0,0,0,0,196,1610612746,1610612759,0,0,0,0,0,0,0
0,0,1,0,0,0,475,1610612746,1610612759,0,2,0,0,0,0,0
0,0,0,0,0,0,49,1610612746,1610612759,0,0,0,0,0,0,0
