@relation Greg_Stiemsma
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,0,2,2,0,0,1113,1610612765,1610612740,2,3,1,1,1,5,4
0,0,5,4,2,1,1833,1610612739,1610612740,2,1,1,2,0,4,9
0,0,1,0,4,3,1967,1610612750,1610612740,2,1,2,1,2,4,3
0,0,3,2,2,1,1558,1610612741,1610612740,1,0,1,2,0,5,5
0,0,1,1,0,0,1250,1610612759,1610612740,1,2,0,0,0,3,2
0,0,3,3,0,0,1907,1610612737,1610612740,6,4,1,2,0,2,6
0,0,1,1,0,0,1151,1610612750,1610612740,0,0,0,3,1,2,2
0,0,4,2,1,1,1177,1610612751,1610612740,2,0,1,0,1,4,5
0,0,2,1,0,0,913,1610612761,1610612740,2,2,0,0,1,4,2
0,0,1,1,0,0,1213,1610612749,1610612740,2,1,1,2,1,4,2
0,0,2,1,0,0,812,1610612752,1610612740,3,0,0,3,1,1,2
0,0,1,1,0,0,1160,1610612766,1610612740,0,0,0,2,1,4,2
0,0,1,0,0,0,919,1610612764,1610612740,1,0,3,0,0,3,0
0,0,2,1,0,0,685,1610612746,1610612740,2,1,1,0,0,2,2
0,0,0,0,0,0,884,1610612742,1610612740,2,0,0,0,0,0,0
0,0,7,5,0,0,1828,1610612746,1610612740,0,0,0,1,0,4,10
0,0,1,1,0,0,1181,1610612758,1610612740,1,0,2,2,1,6,2
0,0,0,0,0,0,501,1610612747,1610612740,2,1,0,0,1,3,0
0,0,1,1,2,1,1745,1610612749,1610612740,2,3,0,3,0,4,3
0,0,0,0,2,1,1613,1610612743,1610612740,4,1,1,1,2,4,1
0,0,1,0,0,0,1560,1610612763,1610612740,2,0,2,1,2,3,0
0,0,3,3,0,0,1731,1610612738,1610612740,2,0,0,2,0,2,6
0,0,2,1,0,0,884,1610612761,1610612740,0,2,0,0,1,4,2
0,0,0,0,2,1,838,1610612737,1610612740,1,1,1,0,1,3,1
0,0,0,0,0,0,472,1610612748,1610612740,1,0,2,1,0,1,0
0,0,0,0,0,0,630,1610612751,1610612740,0,0,0,0,0,4,0
0,0,5,2,0,0,1249,1610612746,1610612740,1,1,0,2,2,2,4
0,0,1,1,0,0,1153,1610612762,1610612740,0,1,1,2,2,6,2
0,0,3,1,0,0,1127,1610612759,1610612740,0,1,1,1,1,3,2
0,0,1,1,3,2,829,1610612758,1610612740,0,0,0,0,0,4,4
0,0,9,4,2,1,1210,1610612743,1610612740,2,1,0,1,1,3,9
0,0,7,4,2,2,1509,1610612762,1610612740,2,0,3,2,2,5,10
0,0,4,2,0,0,1037,1610612757,1610612740,2,1,2,0,0,2,4
0,0,6,2,0,0,1643,1610612756,1610612740,0,0,2,2,0,3,4
1,0,1,0,2,1,1513,1610612760,1610612740,0,1,1,2,1,2,1
0,0,2,2,0,0,755,1610612760,1610612761,3,1,1,0,1,5,4
0,0,2,2,2,2,741,1610612738,1610612761,1,0,0,0,1,3,6
0,0,0,0,0,0,152,1610612755,1610612761,0,0,0,0,0,1,0
0,0,2,1,0,0,676,1610612749,1610612761,2,1,0,0,1,4,2
0,0,0,0,0,0,90,1610612739,1610612761,1,0,0,0,0,0,0
0,0,0,0,0,0,20,1610612762,1610612761,0,0,0,0,0,0,0
0,0,0,0,0,0,85,1610612754,1610612761,0,0,0,0,0,0,0
0,0,0,0,0,0,82,1610612751,1610612761,1,0,0,0,1,1,0
0,0,0,0,0,0,49,1610612754,1610612761,0,0,0,0,0,0,0
0,0,0,0,0,0,62,1610612751,1610612761,0,1,0,0,0,0,0
0,0,0,0,0,0,107,1610612746,1610612761,0,0,0,0,0,0,0
0,0,0,0,0,0,148,1610612737,1610612761,1,0,0,0,0,0,0
0,0,0,0,0,0,110,1610612745,1610612761,0,0,0,0,0,0,0
0,0,1,1,0,0,398,1610612744,1610612761,0,0,1,0,2,0,2
0,0,0,0,2,0,96,1610612757,1610612761,0,0,0,0,0,0,0
0,0,1,0,0,0,297,1610612750,1610612761,0,0,0,0,1,1,0
0,0,0,0,0,0,69,1610612766,1610612761,0,0,0,0,0,0,0
0,0,2,2,2,1,118,1610612764,1610612761,0,0,0,0,0,0,5
